['heart', [23241, 23246]]
['heart', [23301, 23306]]
['connection', [85, 95]]
['background', [96, 106]]
['purpose', [111, 118]]
['stroke', [119, 125]]
['stroke', [220, 226]]
['cardiac arrhythmias', [151, 170]]
['cardiac arrhythmias', [16084, 16103]]
['cardiac arrhythmias', [16210, 16229]]
['cardiac arrhythmias', [18286, 18305]]
['cardiac arrhythmias', [18412, 18431]]
['effect', [201, 207]]
['effect', [10009, 10015]]
['effect', [11530, 11536]]
['effect', [13043, 13049]]
['effect', [13694, 13700]]
['effect', [16312, 16318]]
['effect', [18514, 18520]]
['ischemic stroke', [211, 226]]
['cardiac function', [230, 246]]
['cardiac function', [384, 400]]
['cardiac function', [1610, 1626]]
['cardiac function', [3553, 3569]]
['cardiac function', [7155, 7171]]
['cardiac function', [10028, 10044]]
['cardiac function', [11549, 11565]]
['cardiac function', [13062, 13078]]
['cardiac function', [13713, 13729]]
['cardiac function', [20523, 20539]]
['cardiac function', [21949, 21965]]
['mouse model', [252, 263]]
['middle cerebral artery occlusion', [277, 309]]
['induction', [355, 364]]
['induction', [1581, 1590]]
['induction', [3637, 3646]]
['induction', [7239, 7248]]
['mice', [417, 421]]
['mice', [512, 516]]
['mice', [823, 827]]
['mice', [866, 870]]
['mice', [936, 940]]
['mice', [1042, 1046]]
['mice', [1213, 1217]]
['mice', [1458, 1462]]
['mice', [1643, 1647]]
['mice', [1738, 1742]]
['mice', [2050, 2054]]
['mice', [2093, 2097]]
['mice', [2163, 2167]]
['mice', [2269, 2273]]
['mice', [2440, 2444]]
['mice', [2686, 2690]]
['mice', [3087, 3091]]
['mice', [3743, 3747]]
['mice', [4151, 4155]]
['mice', [5636, 5640]]
['mice', [5850, 5854]]
['mice', [6688, 6692]]
['mice', [7345, 7349]]
['mice', [7754, 7758]]
['mice', [9240, 9244]]
['mice', [9454, 9458]]
['mice', [10136, 10140]]
['mice', [10240, 10244]]
['mice', [10304, 10308]]
['mice', [10347, 10351]]
['mice', [10509, 10513]]
['mice', [10561, 10565]]
['mice', [10834, 10838]]
['mice', [11197, 11201]]
['mice', [11347, 11351]]
['mice', [11478, 11482]]
['mice', [11657, 11661]]
['mice', [11761, 11765]]
['mice', [11825, 11829]]
['mice', [11868, 11872]]
['mice', [12030, 12034]]
['mice', [12082, 12086]]
['mice', [12355, 12359]]
['mice', [12718, 12722]]
['mice', [12868, 12872]]
['mice', [12999, 13003]]
['mice', [13170, 13174]]
['mice', [13274, 13278]]
['mice', [13338, 13342]]
['mice', [13381, 13385]]
['mice', [13543, 13547]]
['mice', [13595, 13599]]
['mice', [13821, 13825]]
['mice', [13925, 13929]]
['mice', [13989, 13993]]
['mice', [14032, 14036]]
['mice', [14194, 14198]]
['mice', [14246, 14250]]
['mice', [14520, 14524]]
['mice', [14961, 14965]]
['mice', [15325, 15329]]
['mice', [15475, 15479]]
['mice', [15606, 15610]]
['mice', [15748, 15752]]
['mice', [15898, 15902]]
['mice', [16029, 16033]]
['mice', [16610, 16614]]
['mice', [18812, 18816]]
['mice', [20624, 20628]]
['mice', [20704, 20708]]
['mice', [21029, 21033]]
['mice', [21266, 21270]]
['mice', [21365, 21369]]
['mice', [21571, 21575]]
['mice', [21730, 21734]]
['mice', [21805, 21809]]
['mice', [21865, 21869]]
['mice', [22050, 22054]]
['mice', [22130, 22134]]
['mice', [22455, 22459]]
['mice', [22692, 22696]]
['mice', [22791, 22795]]
['mice', [22997, 23001]]
['mice', [23156, 23160]]
['mice', [23231, 23235]]
