['ii', [3760, 3762]]
['ii', [4199, 4201]]
['ii', [5228, 5230]]
['ii', [7079, 7081]]
['ii', [7378, 7380]]
['ii', [9577, 9579]]
['ii', [10607, 10609]]
['ii', [12459, 12461]]
['ii', [12759, 12761]]
['ii', [15434, 15436]]
['ii', [15737, 15739]]
['ii', [15852, 15854]]
['ii', [16083, 16085]]
['ii', [16225, 16227]]
['ii', [16494, 16496]]
['ii', [16633, 16635]]
['ii', [17012, 17014]]
['ii', [17387, 17389]]
['ii', [17574, 17576]]
['ii', [17727, 17729]]
['ii', [17855, 17857]]
['ii', [18848, 18850]]
['ii', [19151, 19153]]
['ii', [19266, 19268]]
['ii', [19497, 19499]]
['ii', [19639, 19641]]
['ii', [19908, 19910]]
['ii', [20047, 20049]]
['ii', [20426, 20428]]
['ii', [20801, 20803]]
['ii', [20988, 20990]]
['ii', [21141, 21143]]
['ii', [21269, 21271]]
['ii', [23100, 23102]]
['ii', [23403, 23405]]
['ii', [23518, 23520]]
['ii', [23749, 23751]]
['ii', [23891, 23893]]
['ii', [24161, 24163]]
['ii', [24464, 24466]]
['ii', [24579, 24581]]
['ii', [24810, 24812]]
['ii', [24952, 24954]]
['ii', [25222, 25224]]
['ii', [25361, 25363]]
['ii', [25740, 25742]]
['ii', [26115, 26117]]
['ii', [26302, 26304]]
['ii', [26455, 26457]]
['ii', [26583, 26585]]
['ii', [26718, 26720]]
['ii', [26857, 26859]]
['ii', [27236, 27238]]
['ii', [27611, 27613]]
['ii', [27798, 27800]]
['ii', [27951, 27953]]
['ii', [28079, 28081]]
['ii', [29306, 29308]]
['ii', [29310, 29312]]
['ii', [29584, 29586]]
['ii', [29611, 29613]]
['ii', [29660, 29662]]
['ii', [29679, 29681]]
['ii', [29815, 29817]]
['ii', [30160, 30162]]
['ii', [30322, 30324]]
['ii', [30915, 30917]]
['ii', [30991, 30993]]
['ii', [31165, 31167]]
['ii', [31295, 31297]]
['ii', [31392, 31394]]
['ii', [31551, 31553]]
['ii', [31663, 31665]]
['ii', [31739, 31741]]
['ii', [31945, 31947]]
['ii', [31997, 31999]]
['ii', [32118, 32120]]
['ii', [33402, 33404]]
['ii', [33406, 33408]]
['ii', [33680, 33682]]
['ii', [33707, 33709]]
['ii', [33756, 33758]]
['ii', [33775, 33777]]
['ii', [33911, 33913]]
['ii', [34256, 34258]]
['ii', [34418, 34420]]
['ii', [35011, 35013]]
['ii', [35087, 35089]]
['ii', [35261, 35263]]
['ii', [35391, 35393]]
['ii', [35488, 35490]]
['ii', [35647, 35649]]
['ii', [35759, 35761]]
['ii', [35835, 35837]]
['ii', [36041, 36043]]
['ii', [36093, 36095]]
['ii', [36214, 36216]]
['adipor1', [424, 431]]
['adipor1', [1504, 1511]]
['adipor1', [2871, 2878]]
['adipor1', [3396, 3403]]
['adipor1', [14583, 14590]]
['adipor1', [15080, 15087]]
['adipor1', [15133, 15140]]
['adipor1', [15365, 15372]]
['adipor1', [17997, 18004]]
['adipor1', [18494, 18501]]
['adipor1', [18547, 18554]]
['adipor1', [18779, 18786]]
['adipor1', [21400, 21407]]
['adipor1', [21897, 21904]]
['adipor1', [21950, 21957]]
['adipor1', [22182, 22189]]
['adipor1', [22248, 22255]]
['adipor1', [22745, 22752]]
['adipor1', [22798, 22805]]
['adipor1', [23030, 23037]]
['pcna', [433, 437]]
['pcna', [626, 630]]
['pcna', [671, 675]]
['pcna', [6097, 6101]]
['pcna', [6763, 6767]]
['pcna', [6863, 6867]]
['pcna', [7139, 7143]]
['pcna', [7162, 7166]]
['pcna', [7216, 7220]]
['pcna', [7254, 7258]]
['pcna', [11477, 11481]]
['pcna', [12143, 12147]]
['pcna', [12243, 12247]]
['pcna', [12519, 12523]]
['pcna', [12542, 12546]]
['pcna', [12596, 12600]]
['pcna', [12634, 12638]]
['pcna', [16564, 16568]]
['pcna', [17202, 17206]]
['pcna', [17485, 17489]]
['pcna', [17644, 17648]]
['pcna', [17909, 17913]]
['pcna', [19978, 19982]]
['pcna', [20616, 20620]]
['pcna', [20899, 20903]]
['pcna', [21058, 21062]]
['pcna', [21323, 21327]]
['pcna', [25292, 25296]]
['pcna', [25930, 25934]]
['pcna', [26213, 26217]]
['pcna', [26372, 26376]]
['pcna', [26637, 26641]]
['pcna', [26788, 26792]]
['pcna', [27426, 27430]]
['pcna', [27709, 27713]]
['pcna', [27868, 27872]]
['pcna', [28133, 28137]]
['pcna', [30724, 30728]]
['pcna', [31076, 31080]]
['pcna', [31212, 31216]]
['pcna', [31506, 31510]]
['pcna', [34820, 34824]]
['pcna', [35172, 35176]]
['pcna', [35308, 35312]]
['pcna', [35602, 35606]]
