['collagen', [101241, 101249]]
['collagen', [101290, 101298]]
['collagen', [101406, 101414]]
['collagen', [101661, 101669]]
['collagen', [101766, 101774]]
['collagen', [101866, 101874]]
['collagen', [101965, 101973]]
['collagen', [101997, 102005]]
['collagen', [102141, 102149]]
['collagen', [102214, 102222]]
['collagen', [102233, 102241]]
['collagen', [102297, 102305]]
['collagen', [102331, 102339]]
['collagen', [102418, 102426]]
['collagen', [102472, 102480]]
['collagen', [102496, 102504]]
['collagen', [102526, 102534]]
['collagen', [102582, 102590]]
['collagen', [102661, 102669]]
['collagen', [102776, 102784]]
['collagen', [102896, 102904]]
['collagen', [102913, 102921]]
['collagen', [103084, 103092]]
['collagen', [103140, 103148]]
['collagen', [103193, 103201]]
['collagen', [103219, 103227]]
['collagen', [103268, 103276]]
['collagen', [103393, 103401]]
['collagen', [103470, 103478]]
['collagen', [103530, 103538]]
['collagen', [103709, 103717]]
['collagen', [103827, 103835]]
['collagen', [103999, 104007]]
['collagen', [104142, 104150]]
['collagen', [104312, 104320]]
['collagen', [104428, 104436]]
['collagen', [104501, 104509]]
['collagen', [104549, 104557]]
['collagen', [104613, 104621]]
['collagen', [104705, 104713]]
['collagen', [104946, 104954]]
['collagen', [105012, 105020]]
['collagen', [105095, 105103]]
['collagen', [105165, 105173]]
['collagen', [105352, 105360]]
['collagen', [105623, 105631]]
['collagen', [105805, 105813]]
['collagen', [105893, 105901]]
['collagen', [105939, 105947]]
['collagen', [106039, 106047]]
['collagen', [106070, 106078]]
['collagen', [106304, 106312]]
['collagen', [106704, 106712]]
['collagen', [106776, 106784]]
['collagen', [106888, 106896]]
['collagen', [107059, 107067]]
['collagen', [108623, 108631]]
['collagen', [108877, 108885]]
['collagen', [109767, 109775]]
['collagen', [109846, 109854]]
['collagen', [109929, 109937]]
['collagen', [109970, 109978]]
['collagen', [109995, 110003]]
['collagen', [110124, 110132]]
['collagen', [110288, 110296]]
['collagen', [110396, 110404]]
['collagen', [110509, 110517]]
['collagen', [110669, 110677]]
['collagen', [110712, 110720]]
['collagen', [110938, 110946]]
['collagen', [110981, 110989]]
['collagen', [111054, 111062]]
['collagen', [111188, 111196]]
['collagen', [111240, 111248]]
['collagen', [111302, 111310]]
['collagen', [111437, 111445]]
['collagen', [111538, 111546]]
['collagen', [111818, 111826]]
['collagen', [111926, 111934]]
['collagen', [112667, 112675]]
['collagen', [113417, 113425]]
['collagen', [114137, 114145]]
['collagen', [114354, 114362]]
['collagen', [114481, 114489]]
['collagen', [114605, 114613]]
['collagen', [114845, 114853]]
['collagen', [114894, 114902]]
['collagen', [114941, 114949]]
['collagen', [115024, 115032]]
['collagen', [115138, 115146]]
['collagen', [115244, 115252]]
['collagen', [116319, 116327]]
['collagen', [116590, 116598]]
['collagen', [116679, 116687]]
['collagen', [116738, 116746]]
['collagen', [116795, 116803]]
['collagen', [116816, 116824]]
['collagen', [116873, 116881]]
['collagen', [119260, 119268]]
['collagen', [119353, 119361]]
['collagen', [119440, 119448]]
['collagen', [119580, 119588]]
['collagen', [119724, 119732]]
['sparc', [111, 116]]
['sparc', [491, 496]]
['sparc', [763, 768]]
['sparc', [801, 806]]
['sparc', [1258, 1263]]
['sparc', [1487, 1492]]
['sparc', [1601, 1606]]
['sparc', [1689, 1694]]
['sparc', [1879, 1884]]
['sparc', [2025, 2030]]
['sparc', [2163, 2168]]
['sparc', [2271, 2276]]
['sparc', [2397, 2402]]
['sparc', [2700, 2705]]
['sparc', [2738, 2743]]
['sparc', [3195, 3200]]
['sparc', [3424, 3429]]
['sparc', [3538, 3543]]
['sparc', [3626, 3631]]
['sparc', [3816, 3821]]
['sparc', [3962, 3967]]
['sparc', [4100, 4105]]
['sparc', [4209, 4214]]
['sparc', [4335, 4340]]
['sparc', [4610, 4615]]
['sparc', [4630, 4635]]
['sparc', [4725, 4730]]
['sparc', [4732, 4737]]
['sparc', [4820, 4825]]
['sparc', [4977, 4982]]
['sparc', [5046, 5051]]
['sparc', [5206, 5211]]
['sparc', [5287, 5292]]
['sparc', [5604, 5609]]
['sparc', [5752, 5757]]
['sparc', [5779, 5784]]
['sparc', [5805, 5810]]
['sparc', [5835, 5840]]
['sparc', [5866, 5871]]
['sparc', [5995, 6000]]
['sparc', [6126, 6131]]
['sparc', [6152, 6157]]
['sparc', [6181, 6186]]
['sparc', [6575, 6580]]
['sparc', [8352, 8357]]
['sparc', [13381, 13386]]
['sparc', [13404, 13409]]
['sparc', [13570, 13575]]
['sparc', [13668, 13673]]
['sparc', [13773, 13778]]
['sparc', [13793, 13798]]
['sparc', [14795, 14800]]
['sparc', [14815, 14820]]
['sparc', [14910, 14915]]
['sparc', [14917, 14922]]
['sparc', [15005, 15010]]
['sparc', [15162, 15167]]
['sparc', [15231, 15236]]
['sparc', [15391, 15396]]
['sparc', [15472, 15477]]
['sparc', [15789, 15794]]
['sparc', [15937, 15942]]
['sparc', [15964, 15969]]
['sparc', [15990, 15995]]
['sparc', [16020, 16025]]
['sparc', [16051, 16056]]
['sparc', [16180, 16185]]
['sparc', [16311, 16316]]
['sparc', [16337, 16342]]
['sparc', [16366, 16371]]
['sparc', [16760, 16765]]
['sparc', [18537, 18542]]
['sparc', [23716, 23721]]
['sparc', [25493, 25498]]
['sparc', [27305, 27310]]
['sparc', [35797, 35802]]
['sparc', [35820, 35825]]
['sparc', [35986, 35991]]
['sparc', [36084, 36089]]
['sparc', [36189, 36194]]
['sparc', [36209, 36214]]
['sparc', [37123, 37128]]
['sparc', [37257, 37262]]
['sparc', [37390, 37395]]
['sparc', [37521, 37526]]
['sparc', [37788, 37793]]
['sparc', [37931, 37936]]
['sparc', [38103, 38108]]
['sparc', [38197, 38202]]
['sparc', [38365, 38370]]
['sparc', [38435, 38440]]
['sparc', [38536, 38541]]
['sparc', [38683, 38688]]
['sparc', [38776, 38781]]
['sparc', [38870, 38875]]
['sparc', [38945, 38950]]
['sparc', [39173, 39178]]
['sparc', [39372, 39377]]
['sparc', [39547, 39552]]
['sparc', [39742, 39747]]
['sparc', [39948, 39953]]
['sparc', [40119, 40124]]
['sparc', [40142, 40147]]
['sparc', [40293, 40298]]
['sparc', [40369, 40374]]
['sparc', [40443, 40448]]
['sparc', [40496, 40501]]
['sparc', [40663, 40668]]
['sparc', [40683, 40688]]
['sparc', [40882, 40887]]
['sparc', [40950, 40955]]
['sparc', [41123, 41128]]
['sparc', [41167, 41172]]
['sparc', [41245, 41250]]
['sparc', [41829, 41834]]
['sparc', [41904, 41909]]
['sparc', [42055, 42060]]
['sparc', [42149, 42154]]
['sparc', [42355, 42360]]
['sparc', [42387, 42392]]
['sparc', [42586, 42591]]
['sparc', [42651, 42656]]
['sparc', [42833, 42838]]
['sparc', [42882, 42887]]
['sparc', [43034, 43039]]
['sparc', [43176, 43181]]
['sparc', [43282, 43287]]
['sparc', [43435, 43440]]
['sparc', [43585, 43590]]
['sparc', [43720, 43725]]
['sparc', [43796, 43801]]
['sparc', [43867, 43872]]
['sparc', [44016, 44021]]
['sparc', [44118, 44123]]
['sparc', [44213, 44218]]
['sparc', [44500, 44505]]
['sparc', [44536, 44541]]
['sparc', [44668, 44673]]
['sparc', [44802, 44807]]
['sparc', [44935, 44940]]
['sparc', [45066, 45071]]
['sparc', [45333, 45338]]
['sparc', [45476, 45481]]
['sparc', [45648, 45653]]
['sparc', [45742, 45747]]
['sparc', [45910, 45915]]
['sparc', [45980, 45985]]
['sparc', [46081, 46086]]
['sparc', [46228, 46233]]
['sparc', [46321, 46326]]
['sparc', [46415, 46420]]
['sparc', [46490, 46495]]
['sparc', [46718, 46723]]
['sparc', [46917, 46922]]
['sparc', [47092, 47097]]
['sparc', [47287, 47292]]
['sparc', [47493, 47498]]
['sparc', [47664, 47669]]
['sparc', [47687, 47692]]
['sparc', [47838, 47843]]
['sparc', [47914, 47919]]
['sparc', [47988, 47993]]
['sparc', [48041, 48046]]
['sparc', [48208, 48213]]
['sparc', [48228, 48233]]
['sparc', [48427, 48432]]
['sparc', [48495, 48500]]
['sparc', [48668, 48673]]
['sparc', [48712, 48717]]
['sparc', [48790, 48795]]
['sparc', [49374, 49379]]
['sparc', [49449, 49454]]
['sparc', [49600, 49605]]
['sparc', [49694, 49699]]
['sparc', [49900, 49905]]
['sparc', [49932, 49937]]
['sparc', [50131, 50136]]
['sparc', [50196, 50201]]
['sparc', [50378, 50383]]
['sparc', [50427, 50432]]
['sparc', [50579, 50584]]
['sparc', [50721, 50726]]
['sparc', [50827, 50832]]
['sparc', [50980, 50985]]
['sparc', [51130, 51135]]
['sparc', [51265, 51270]]
['sparc', [51341, 51346]]
['sparc', [51412, 51417]]
['sparc', [51561, 51566]]
['sparc', [51663, 51668]]
['sparc', [51758, 51763]]
['sparc', [52045, 52050]]
['sparc', [52081, 52086]]
['sparc', [52205, 52210]]
['sparc', [52339, 52344]]
['sparc', [52472, 52477]]
['sparc', [52603, 52608]]
['sparc', [52870, 52875]]
['sparc', [53013, 53018]]
['sparc', [53185, 53190]]
['sparc', [53279, 53284]]
['sparc', [53447, 53452]]
['sparc', [53517, 53522]]
['sparc', [53618, 53623]]
['sparc', [53765, 53770]]
['sparc', [53858, 53863]]
['sparc', [53952, 53957]]
['sparc', [54027, 54032]]
['sparc', [54255, 54260]]
