['4', [44645, 44646]]
['4', [44650, 44651]]
['4', [44660, 44661]]
['4', [44666, 44667]]
['4', [44697, 44698]]
['4', [44878, 44879]]
['4', [45001, 45002]]
['4', [45044, 45045]]
['4', [45065, 45066]]
['4', [45261, 45262]]
['4', [45268, 45269]]
['4', [45340, 45341]]
['4', [45373, 45374]]
['4', [45454, 45455]]
['4', [45467, 45468]]
['4', [45652, 45653]]
['4', [45653, 45654]]
['4', [45659, 45660]]
['4', [45699, 45700]]
['4', [45741, 45742]]
['4', [45748, 45749]]
['4', [46271, 46272]]
['4', [46275, 46276]]
['4', [46313, 46314]]
['4', [46354, 46355]]
['4', [46361, 46362]]
['4', [46420, 46421]]
['4', [46421, 46422]]
['4', [46492, 46493]]
['4', [46765, 46766]]
['4', [46886, 46887]]
['4', [46891, 46892]]
['4', [46901, 46902]]
['4', [46907, 46908]]
['4', [47035, 47036]]
['4', [47087, 47088]]
['4', [47233, 47234]]
['4', [47292, 47293]]
['4', [47332, 47333]]
['4', [47335, 47336]]
['4', [47491, 47492]]
['4', [47498, 47499]]
['4', [47530, 47531]]
['4', [47575, 47576]]
['4', [47594, 47595]]
['4', [47600, 47601]]
['4', [47634, 47635]]
['4', [47673, 47674]]
['4', [47699, 47700]]
['4', [47812, 47813]]
['4', [47875, 47876]]
['4', [47889, 47890]]
['4', [47917, 47918]]
['4', [47922, 47923]]
['4', [47956, 47957]]
['4', [48279, 48280]]
['4', [48288, 48289]]
['4', [48298, 48299]]
['4', [48308, 48309]]
['4', [48347, 48348]]
['4', [48381, 48382]]
['4', [48403, 48404]]
['4', [48471, 48472]]
['4', [48523, 48524]]
['4', [48556, 48557]]
['4', [48593, 48594]]
['4', [48603, 48604]]
['4', [48681, 48682]]
['4', [48685, 48686]]
['4', [48686, 48687]]
['4', [49065, 49066]]
['4', [49069, 49070]]
['4', [49139, 49140]]
['4', [49192, 49193]]
['4', [49346, 49347]]
['4', [49399, 49400]]
['4', [49470, 49471]]
['4', [49475, 49476]]
['4', [49485, 49486]]
['4', [49491, 49492]]
['4', [49585, 49586]]
['4', [49603, 49604]]
['4', [49614, 49615]]
['4', [49795, 49796]]
['4', [49796, 49797]]
['4', [49864, 49865]]
['4', [49871, 49872]]
['4', [49933, 49934]]
['4', [49987, 49988]]
['4', [50003, 50004]]
['4', [50155, 50156]]
['4', [50172, 50173]]
['4', [50421, 50422]]
['4', [50425, 50426]]
['4', [50508, 50509]]
['4', [50521, 50522]]
['4', [50689, 50690]]
['4', [50708, 50709]]
['4', [51000, 51001]]
['4', [51024, 51025]]
['4', [51076, 51077]]
['4', [51182, 51183]]
['4', [51187, 51188]]
['4', [51197, 51198]]
['4', [51203, 51204]]
['4', [51223, 51224]]
['4', [51288, 51289]]
['4', [51313, 51314]]
['4', [51381, 51382]]
['4', [51404, 51405]]
['4', [51411, 51412]]
['4', [51637, 51638]]
['4', [51643, 51644]]
['4', [51736, 51737]]
['4', [51748, 51749]]
['4', [51772, 51773]]
['4', [51928, 51929]]
['4', [51935, 51936]]
['4', [51995, 51996]]
['4', [52094, 52095]]
['4', [52101, 52102]]
['4', [52137, 52138]]
['4', [52141, 52142]]
['4', [52196, 52197]]
['4', [52208, 52209]]
['4', [52240, 52241]]
['4', [52313, 52314]]
['4', [52314, 52315]]
['4', [52495, 52496]]
['4', [52560, 52561]]
['4', [52993, 52994]]
['4', [53308, 53309]]
['4', [53312, 53313]]
['4', [53355, 53356]]
['4', [53412, 53413]]
['4', [53462, 53463]]
['4', [53500, 53501]]
['4', [53507, 53508]]
['4', [53717, 53718]]
['4', [53723, 53724]]
['4', [53728, 53729]]
['4', [53829, 53830]]
['4', [53931, 53932]]
['4', [53936, 53937]]
['4', [53946, 53947]]
['4', [53952, 53953]]
['4', [53983, 53984]]
['4', [54164, 54165]]
['4', [54287, 54288]]
['4', [54330, 54331]]
['4', [54351, 54352]]
['4', [54547, 54548]]
['4', [54554, 54555]]
['4', [54626, 54627]]
['4', [54659, 54660]]
['4', [54740, 54741]]
['4', [54753, 54754]]
['4', [54938, 54939]]
['4', [54939, 54940]]
['4', [54945, 54946]]
['4', [54985, 54986]]
['4', [55027, 55028]]
['4', [55034, 55035]]
['4', [55557, 55558]]
['4', [55561, 55562]]
['4', [55599, 55600]]
['4', [55640, 55641]]
['4', [55647, 55648]]
['4', [55706, 55707]]
