['cfs', [47463, 47466]]
['cfs', [48038, 48041]]
['cfs', [48848, 48851]]
['cfs', [48982, 48985]]
['cfs', [50952, 50955]]
['cfs', [51036, 51039]]
['cfs', [51058, 51061]]
['cfs', [51436, 51439]]
['cfs', [52234, 52237]]
['cfs', [52373, 52376]]
['cfs', [54447, 54450]]
['cfs', [54473, 54476]]
['cfs', [54497, 54500]]
['cfs', [55864, 55867]]
['cfs', [56857, 56860]]
['cfs', [56941, 56944]]
['cfs', [56963, 56966]]
['cfs', [57341, 57344]]
['cfs', [58139, 58142]]
['cfs', [58278, 58281]]
['cfs', [60352, 60355]]
['cfs', [60378, 60381]]
['cfs', [60402, 60405]]
['cfs', [61769, 61772]]
['t0', [9076, 9078]]
['t0', [10893, 10895]]
['t0', [11116, 11118]]
['t0', [11360, 11362]]
['t0', [11464, 11466]]
['t0', [15534, 15536]]
['t0', [17352, 17354]]
['t0', [17575, 17577]]
['t0', [17819, 17821]]
['t0', [17923, 17925]]
['t0', [39107, 39109]]
['t0', [39193, 39195]]
['t0', [46451, 46453]]
['t0', [46537, 46539]]
['t0', [52258, 52260]]
['t0', [52866, 52868]]
['t0', [53280, 53282]]
['t0', [53865, 53867]]
['t0', [53884, 53886]]
['t0', [54533, 54535]]
['t0', [55252, 55254]]
['t0', [55623, 55625]]
['t0', [56167, 56169]]
['t0', [56183, 56185]]
['t0', [56486, 56488]]
['t0', [58163, 58165]]
['t0', [58771, 58773]]
['t0', [59185, 59187]]
['t0', [59770, 59772]]
['t0', [59789, 59791]]
['t0', [60438, 60440]]
['t0', [61157, 61159]]
['t0', [61528, 61530]]
['t0', [62072, 62074]]
['t0', [62088, 62090]]
['t0', [62391, 62393]]
['hra', [2277, 2280]]
['hra', [11001, 11004]]
['hra', [11159, 11162]]
['hra', [11239, 11242]]
['hra', [11338, 11341]]
['hra', [17460, 17463]]
['hra', [17618, 17621]]
['hra', [17698, 17701]]
['hra', [17797, 17800]]
['hra', [20379, 20382]]
['hra', [20874, 20877]]
['hra', [21376, 21379]]
['hra', [22870, 22873]]
['hra', [24940, 24943]]
['hra', [25435, 25438]]
['hra', [25937, 25940]]
['hra', [27431, 27434]]
['hra', [28925, 28928]]
['hra', [29420, 29423]]
['hra', [29922, 29925]]
['hra', [31378, 31381]]
['hra', [31873, 31876]]
['hra', [32375, 32378]]
['hra', [33870, 33873]]
['hra', [35403, 35406]]
['hra', [37506, 37509]]
['hra', [44850, 44853]]
['hra', [51696, 51699]]
['hra', [51833, 51836]]
['hra', [51931, 51934]]
['hra', [52047, 52050]]
['hra', [52546, 52549]]
['hra', [52586, 52589]]
['hra', [52685, 52688]]
['hra', [52822, 52825]]
['hra', [53168, 53171]]
['hra', [53855, 53858]]
['hra', [54283, 54286]]
['hra', [54843, 54846]]
['hra', [54889, 54892]]
['hra', [54996, 54999]]
['hra', [55203, 55206]]
['hra', [55539, 55542]]
['hra', [56160, 56163]]
['hra', [56629, 56632]]
['hra', [57601, 57604]]
['hra', [57738, 57741]]
['hra', [57836, 57839]]
['hra', [57952, 57955]]
['hra', [58451, 58454]]
['hra', [58491, 58494]]
['hra', [58590, 58593]]
['hra', [58727, 58730]]
['hra', [59073, 59076]]
['hra', [59760, 59763]]
['hra', [60188, 60191]]
['hra', [60748, 60751]]
['hra', [60794, 60797]]
['hra', [60901, 60904]]
['hra', [61108, 61111]]
['hra', [61444, 61447]]
['hra', [62065, 62068]]
['hra', [62534, 62537]]
['t1', [8998, 9000]]
['t1', [10900, 10902]]
['t1', [11122, 11124]]
['t1', [11363, 11365]]
['t1', [11467, 11469]]
['t1', [15456, 15458]]
['t1', [17359, 17361]]
['t1', [17581, 17583]]
['t1', [17822, 17824]]
['t1', [17926, 17928]]
['t1', [39110, 39112]]
['t1', [39196, 39198]]
['t1', [46454, 46456]]
['t1', [46540, 46542]]
['t1', [52264, 52266]]
['t1', [52943, 52945]]
['t1', [53283, 53285]]
['t1', [53868, 53870]]
['t1', [53887, 53889]]
['t1', [54539, 54541]]
['t1', [55329, 55331]]
['t1', [55626, 55628]]
['t1', [56170, 56172]]
['t1', [56186, 56188]]
['t1', [56559, 56561]]
['t1', [58169, 58171]]
['t1', [58848, 58850]]
['t1', [59188, 59190]]
['t1', [59773, 59775]]
['t1', [59792, 59794]]
['t1', [60444, 60446]]
['t1', [61234, 61236]]
['t1', [61531, 61533]]
['t1', [62075, 62077]]
['t1', [62091, 62093]]
['t1', [62464, 62466]]
['hra\\.', [11159, 11164]]
['hra\\.', [17618, 17623]]
['table', [6405, 6410]]
['table', [12862, 12867]]
['table', [19556, 19561]]
['table', [20322, 20327]]
['table', [21039, 21044]]
['table', [22067, 22072]]
['table', [22510, 22515]]
['table', [23133, 23138]]
['table', [23599, 23604]]
['table', [24117, 24122]]
['table', [24883, 24888]]
['table', [25600, 25605]]
['table', [26628, 26633]]
['table', [27071, 27076]]
['table', [27694, 27699]]
['table', [28160, 28165]]
['table', [28868, 28873]]
['table', [29585, 29590]]
['table', [30613, 30618]]
['table', [31321, 31326]]
['table', [32038, 32043]]
['table', [33066, 33071]]
['table', [33510, 33515]]
['table', [34133, 34138]]
['table', [34599, 34604]]
['table', [35043, 35048]]
['table', [35666, 35671]]
['table', [36132, 36137]]
['table', [39792, 39797]]
['table', [47136, 47141]]
['table', [50832, 50837]]
['table', [50839, 50844]]
['table', [52098, 52103]]
['table', [53479, 53484]]
['table', [54368, 54373]]
['table', [55763, 55768]]
['table', [56737, 56742]]
['table', [56744, 56749]]
['table', [58003, 58008]]
['table', [59384, 59389]]
['table', [60273, 60278]]
['table', [61668, 61673]]
['1', [402, 403]]
['1', [727, 728]]
['1', [762, 763]]
['1', [1092, 1093]]
['1', [1332, 1333]]
['1', [1539, 1540]]
['1', [1938, 1939]]
['1', [2354, 2355]]
['1', [2462, 2463]]
['1', [2627, 2628]]
['1', [3549, 3550]]
['1', [4339, 4340]]
['1', [4340, 4341]]
['1', [4601, 4602]]
['1', [4687, 4688]]
['1', [5013, 5014]]
['1', [5048, 5049]]
['1', [5378, 5379]]
['1', [5618, 5619]]
['1', [5825, 5826]]
['1', [6258, 6259]]
['1', [6263, 6264]]
['1', [6268, 6269]]
['1', [6547, 6548]]
['1', [6550, 6551]]
['1', [6564, 6565]]
['1', [6930, 6931]]
['1', [7637, 7638]]
['1', [7645, 7646]]
['1', [7825, 7826]]
['1', [8137, 8138]]
['1', [8670, 8671]]
['1', [8999, 9000]]
['1', [9298, 9299]]
['1', [10669, 10670]]
['1', [10832, 10833]]
['1', [10901, 10902]]
['1', [11123, 11124]]
['1', [11364, 11365]]
['1', [11468, 11469]]
['1', [12715, 12716]]
['1', [12720, 12721]]
['1', [12725, 12726]]
['1', [13004, 13005]]
['1', [13007, 13008]]
['1', [13021, 13022]]
['1', [13387, 13388]]
['1', [14094, 14095]]
['1', [14102, 14103]]
['1', [14282, 14283]]
['1', [14594, 14595]]
['1', [15127, 15128]]
['1', [15457, 15458]]
['1', [15756, 15757]]
['1', [17128, 17129]]
['1', [17291, 17292]]
['1', [17360, 17361]]
['1', [17582, 17583]]
['1', [17823, 17824]]
['1', [17927, 17928]]
['1', [19061, 19062]]
['1', [19562, 19563]]
['1', [19988, 19989]]
['1', [20011, 20012]]
['1', [20058, 20059]]
