['kinase', [50599, 50605]]
['kinase', [50740, 50746]]
['kinase', [54988, 54994]]
['kinase', [55094, 55100]]
['rock', [1089, 1093]]
['rock', [4588, 4592]]
['rock', [4606, 4610]]
['rock', [5317, 5321]]
['rock', [5439, 5443]]
['rock', [5546, 5550]]
['rock', [9510, 9514]]
['rock', [9528, 9532]]
['rock', [10239, 10243]]
['rock', [10361, 10365]]
['rock', [10468, 10472]]
['rock', [16603, 16607]]
['rock', [17212, 17216]]
['rock', [49206, 49210]]
['rock', [49815, 49819]]
['statin', [0, 6]]
['statin', [77, 83]]
['statin', [350, 356]]
['statin', [529, 535]]
['statin', [774, 780]]
['statin', [1174, 1180]]
['statin', [1217, 1223]]
['statin', [1357, 1363]]
['statin', [1465, 1471]]
['statin', [1764, 1770]]
['statin', [1849, 1855]]
['statin', [1991, 1997]]
['statin', [2300, 2306]]
['statin', [2381, 2387]]
['statin', [2490, 2496]]
['statin', [2510, 2516]]
['statin', [2815, 2821]]
['statin', [2975, 2981]]
['statin', [3055, 3061]]
['statin', [3143, 3149]]
['statin', [3165, 3171]]
['statin', [3182, 3188]]
['statin', [3250, 3256]]
['statin', [3270, 3276]]
['statin', [3286, 3292]]
['statin', [3494, 3500]]
['statin', [3538, 3544]]
['statin', [4086, 4092]]
['statin', [4121, 4127]]
['statin', [4386, 4392]]
['statin', [4531, 4537]]
['statin', [4572, 4578]]
['statin', [4925, 4931]]
['statin', [5242, 5248]]
['statin', [5396, 5402]]
['statin', [5515, 5521]]
['statin', [5711, 5717]]
['statin', [6672, 6678]]
['statin', [6747, 6753]]
['statin', [7258, 7264]]
['statin', [7289, 7295]]
['statin', [7555, 7561]]
['statin', [7809, 7815]]
['statin', [7853, 7859]]
['statin', [8377, 8383]]
['statin', [8399, 8405]]
['statin', [8461, 8467]]
['statin', [8802, 8808]]
['statin', [8917, 8923]]
['statin', [9046, 9052]]
['statin', [9234, 9240]]
['statin', [9309, 9315]]
['statin', [9408, 9414]]
['statin', [9494, 9500]]
['statin', [9847, 9853]]
['statin', [10164, 10170]]
['statin', [10318, 10324]]
['statin', [10437, 10443]]
['statin', [10634, 10640]]
['statin', [11595, 11601]]
['statin', [11670, 11676]]
['statin', [12181, 12187]]
['statin', [12212, 12218]]
['statin', [12478, 12484]]
['statin', [12732, 12738]]
['statin', [12777, 12783]]
['statin', [13301, 13307]]
['statin', [13323, 13329]]
['statin', [13385, 13391]]
['statin', [13726, 13732]]
['statin', [13841, 13847]]
['statin', [13970, 13976]]
['statin', [14158, 14164]]
['statin', [14233, 14239]]
['statin', [14332, 14338]]
['statin', [14418, 14424]]
['statin', [14453, 14459]]
['statin', [15516, 15522]]
['statin', [16059, 16065]]
['statin', [16246, 16252]]
['statin', [16341, 16347]]
['statin', [16464, 16470]]
['statin', [16543, 16549]]
['statin', [16967, 16973]]
['statin', [17079, 17085]]
['statin', [17332, 17338]]
['statin', [17785, 17791]]
['statin', [18076, 18082]]
['statin', [18173, 18179]]
['statin', [18262, 18268]]
['statin', [18353, 18359]]
['statin', [18434, 18440]]
['statin', [18637, 18643]]
['statin', [18853, 18859]]
['statin', [18998, 19004]]
['statin', [19114, 19120]]
['statin', [19539, 19545]]
['statin', [19745, 19751]]
['statin', [19973, 19979]]
['statin', [20026, 20032]]
['statin', [20283, 20289]]
['statin', [20565, 20571]]
['statin', [20605, 20611]]
['statin', [20997, 21003]]
['statin', [21013, 21019]]
['statin', [21028, 21034]]
['statin', [21259, 21265]]
['statin', [21643, 21649]]
['statin', [21692, 21698]]
['statin', [21827, 21833]]
['statin', [22288, 22294]]
['statin', [22596, 22602]]
['statin', [22941, 22947]]
['statin', [23304, 23310]]
['statin', [23350, 23356]]
['statin', [23732, 23738]]
['statin', [23870, 23876]]
['statin', [23985, 23991]]
['statin', [24192, 24198]]
['statin', [24488, 24494]]
['statin', [24564, 24570]]
['statin', [25414, 25420]]
['statin', [25547, 25553]]
['statin', [25711, 25717]]
['statin', [25833, 25839]]
['statin', [26026, 26032]]
['statin', [26255, 26261]]
['statin', [26316, 26322]]
['statin', [26435, 26441]]
['statin', [26757, 26763]]
['statin', [27007, 27013]]
['statin', [27291, 27297]]
['statin', [27507, 27513]]
['statin', [27689, 27695]]
['statin', [27864, 27870]]
['statin', [27956, 27962]]
['statin', [28128, 28134]]
['statin', [28173, 28179]]
['statin', [28254, 28260]]
['statin', [28505, 28511]]
['statin', [28573, 28579]]
['statin', [28912, 28918]]
['statin', [29307, 29313]]
['statin', [29388, 29394]]
['statin', [29567, 29573]]
['statin', [29690, 29696]]
['statin', [30321, 30327]]
['statin', [30552, 30558]]
['statin', [30697, 30703]]
['statin', [30885, 30891]]
['statin', [30993, 30999]]
['statin', [31298, 31304]]
['statin', [31361, 31367]]
['statin', [31389, 31395]]
['statin', [31666, 31672]]
['statin', [32258, 32264]]
['statin', [32476, 32482]]
['statin', [32956, 32962]]
['statin', [33504, 33510]]
['statin', [33778, 33784]]
['statin', [34105, 34111]]
['statin', [34121, 34127]]
['statin', [34235, 34241]]
['statin', [34391, 34397]]
['statin', [35209, 35215]]
['statin', [35333, 35339]]
['statin', [35567, 35573]]
['statin', [35702, 35708]]
['statin', [35948, 35954]]
['statin', [36022, 36028]]
['statin', [36318, 36324]]
['statin', [36431, 36437]]
['statin', [36575, 36581]]
['statin', [36780, 36786]]
['statin', [36981, 36987]]
['statin', [37029, 37035]]
['statin', [37045, 37051]]
['statin', [37261, 37267]]
['statin', [37355, 37361]]
['statin', [37536, 37542]]
['statin', [38058, 38064]]
['statin', [38115, 38121]]
['statin', [38233, 38239]]
['statin', [38333, 38339]]
['statin', [38513, 38519]]
['statin', [38717, 38723]]
['statin', [38993, 38999]]
['statin', [39137, 39143]]
['statin', [39191, 39197]]
['statin', [39293, 39299]]
['statin', [39437, 39443]]
['statin', [39665, 39671]]
['statin', [39734, 39740]]
['statin', [39902, 39908]]
['statin', [39984, 39990]]
['statin', [40164, 40170]]
['statin', [40262, 40268]]
['statin', [40446, 40452]]
['statin', [40517, 40523]]
['statin', [40659, 40665]]
['statin', [40804, 40810]]
['statin', [40868, 40874]]
['statin', [40891, 40897]]
['statin', [41255, 41261]]
['statin', [41319, 41325]]
['statin', [41398, 41404]]
['statin', [41455, 41461]]
['statin', [41526, 41532]]
['statin', [41662, 41668]]
['statin', [41682, 41688]]
['statin', [41886, 41892]]
['statin', [41982, 41988]]
['statin', [42082, 42088]]
['statin', [42151, 42157]]
['statin', [42437, 42443]]
['statin', [42676, 42682]]
['statin', [42767, 42773]]
['statin', [42876, 42882]]
['statin', [43053, 43059]]
['statin', [43531, 43537]]
['statin', [43811, 43817]]
['statin', [43936, 43942]]
['statin', [44029, 44035]]
['statin', [44483, 44489]]
['statin', [44789, 44795]]
['statin', [44960, 44966]]
['statin', [44988, 44994]]
['statin', [45106, 45112]]
['statin', [45248, 45254]]
['statin', [45473, 45479]]
['statin', [45886, 45892]]
['statin', [46094, 46100]]
['statin', [46261, 46267]]
['statin', [46361, 46367]]
['statin', [46398, 46404]]
['statin', [46670, 46676]]
['statin', [46741, 46747]]
['statin', [47056, 47062]]
['statin', [48119, 48125]]
['statin', [48662, 48668]]
['statin', [48849, 48855]]
['statin', [48944, 48950]]
['statin', [49067, 49073]]
['statin', [49146, 49152]]
['statin', [49570, 49576]]
['statin', [49682, 49688]]
['statin', [49935, 49941]]
['statin', [50388, 50394]]
['statin', [50679, 50685]]
['statin', [50776, 50782]]
['statin', [50865, 50871]]
['statin', [50956, 50962]]
['statin', [51037, 51043]]
['statin', [51240, 51246]]
['statin', [51456, 51462]]
['statin', [51601, 51607]]
['statin', [51717, 51723]]
['statin', [52142, 52148]]
['statin', [52348, 52354]]
['statin', [52576, 52582]]
['statin', [52629, 52635]]
['statin', [52886, 52892]]
['statin', [53168, 53174]]
['statin', [53208, 53214]]
['statin', [53600, 53606]]
['statin', [53616, 53622]]
['statin', [53632, 53638]]
['statin', [53863, 53869]]
['statin', [54247, 54253]]
['statin', [54296, 54302]]
['statin', [54431, 54437]]
['statin', [54892, 54898]]
['statin', [55200, 55206]]
['statin', [55545, 55551]]
['statin', [55908, 55914]]
['statin', [55954, 55960]]
['statin', [56336, 56342]]
['statin', [56474, 56480]]
['statin', [56589, 56595]]
