['ed', [20698, 20700]]
['ed', [20831, 20833]]
['ed', [20889, 20891]]
['ed', [20989, 20991]]
['ed', [21040, 21042]]
['ed', [21067, 21069]]
['ed', [21162, 21164]]
['ed', [21350, 21352]]
['ed', [21835, 21837]]
['ed', [21916, 21918]]
['ed', [21963, 21965]]
['ed', [21983, 21985]]
['ed', [22019, 22021]]
['ed', [22127, 22129]]
['ed', [22215, 22217]]
['ed', [22332, 22334]]
['ed', [22379, 22381]]
['ed', [22532, 22534]]
['ed', [22728, 22730]]
['ed', [22924, 22926]]
['ed', [23125, 23127]]
['ed', [23299, 23301]]
['ed', [23402, 23404]]
['ed', [23464, 23466]]
['ed', [23477, 23479]]
['ed', [23531, 23533]]
['ed', [23891, 23893]]
['ed', [24400, 24402]]
['ed', [24468, 24470]]
['ed', [24695, 24697]]
['ed', [24802, 24804]]
['ed', [25009, 25011]]
['ed', [25124, 25126]]
['ed', [25566, 25568]]
['ed', [25613, 25615]]
['ed', [25824, 25826]]
['ed', [26065, 26067]]
['ed', [26125, 26127]]
['ed', [26351, 26353]]
['ed', [26400, 26402]]
['ed', [26841, 26843]]
['ed', [26863, 26865]]
['ed', [26996, 26998]]
['home', [4281, 4285]]
['home', [7796, 7800]]
['t', [7, 8]]
['t', [18, 19]]
['t', [27, 28]]
['t', [36, 37]]
['t', [48, 49]]
['t', [84, 85]]
['t', [91, 92]]
['t', [100, 101]]
['t', [129, 130]]
['t', [158, 159]]
['t', [184, 185]]
['t', [190, 191]]
['t', [202, 203]]
['t', [206, 207]]
['t', [227, 228]]
['t', [260, 261]]
['t', [266, 267]]
['t', [276, 277]]
['t', [280, 281]]
['t', [284, 285]]
['t', [293, 294]]
['t', [303, 304]]
['t', [316, 317]]
['t', [330, 331]]
['t', [335, 336]]
['t', [367, 368]]
['t', [376, 377]]
['t', [385, 386]]
['t', [389, 390]]
['t', [413, 414]]
['t', [417, 418]]
['t', [423, 424]]
['t', [429, 430]]
['t', [449, 450]]
['t', [463, 464]]
['t', [468, 469]]
['t', [488, 489]]
['t', [497, 498]]
['t', [501, 502]]
['t', [537, 538]]
['t', [550, 551]]
['t', [559, 560]]
['t', [578, 579]]
['t', [583, 584]]
['t', [610, 611]]
['t', [633, 634]]
['t', [646, 647]]
['t', [654, 655]]
['t', [656, 657]]
['t', [666, 667]]
['t', [674, 675]]
['t', [681, 682]]
['t', [688, 689]]
['t', [692, 693]]
['t', [705, 706]]
['t', [712, 713]]
['t', [716, 717]]
['t', [738, 739]]
['t', [753, 754]]
['t', [790, 791]]
['t', [793, 794]]
['t', [795, 796]]
['t', [806, 807]]
['t', [813, 814]]
['t', [853, 854]]
['t', [873, 874]]
['t', [880, 881]]
['t', [913, 914]]
['t', [917, 918]]
['t', [924, 925]]
['t', [930, 931]]
['t', [952, 953]]
['t', [960, 961]]
['t', [962, 963]]
['t', [973, 974]]
['t', [980, 981]]
['t', [995, 996]]
['t', [1001, 1002]]
['t', [1023, 1024]]
['t', [1031, 1032]]
['t', [1052, 1053]]
['t', [1061, 1062]]
['t', [1072, 1073]]
['t', [1088, 1089]]
['t', [1100, 1101]]
['t', [1144, 1145]]
['t', [1161, 1162]]
['t', [1167, 1168]]
['t', [1183, 1184]]
['t', [1210, 1211]]
['t', [1218, 1219]]
['t', [1225, 1226]]
['t', [1230, 1231]]
['t', [1234, 1235]]
['t', [1248, 1249]]
['t', [1255, 1256]]
['t', [1266, 1267]]
['t', [1275, 1276]]
['t', [1292, 1293]]
['t', [1303, 1304]]
['t', [1309, 1310]]
['t', [1315, 1316]]
['t', [1321, 1322]]
['t', [1326, 1327]]
['t', [1332, 1333]]
['t', [1362, 1363]]
['t', [1375, 1376]]
['t', [1379, 1380]]
['t', [1422, 1423]]
['t', [1451, 1452]]
['t', [1464, 1465]]
['t', [1467, 1468]]
['t', [1483, 1484]]
['t', [1521, 1522]]
['t', [1530, 1531]]
['t', [1576, 1577]]
['t', [1582, 1583]]
['t', [1597, 1598]]
['t', [1611, 1612]]
['t', [1614, 1615]]
['t', [1632, 1633]]
['t', [1641, 1642]]
['t', [1660, 1661]]
['t', [1664, 1665]]
['t', [1689, 1690]]
['t', [1695, 1696]]
['t', [1718, 1719]]
['t', [1724, 1725]]
['t', [1729, 1730]]
['t', [1736, 1737]]
['t', [1771, 1772]]
['t', [1778, 1779]]
['t', [1788, 1789]]
['t', [1793, 1794]]
['t', [1797, 1798]]
['t', [1814, 1815]]
['t', [1821, 1822]]
['t', [1825, 1826]]
['t', [1880, 1881]]
['t', [1887, 1888]]
['t', [1894, 1895]]
['t', [1920, 1921]]
['t', [1929, 1930]]
['t', [1936, 1937]]
['t', [1977, 1978]]
['t', [2023, 2024]]
['t', [2048, 2049]]
['t', [2071, 2072]]
['t', [2080, 2081]]
['t', [2087, 2088]]
['t', [2100, 2101]]
['t', [2124, 2125]]
['t', [2131, 2132]]
['t', [2153, 2154]]
['t', [2158, 2159]]
['t', [2177, 2178]]
['t', [2183, 2184]]
['t', [2185, 2186]]
['t', [2187, 2188]]
['t', [2214, 2215]]
['t', [2218, 2219]]
['t', [2227, 2228]]
['t', [2246, 2247]]
