genia tagger: 9797['type', [4, 8]]
['tnf', [61122, 61125]]
['tnf', [61317, 61320]]
['tnf', [61541, 61544]]
['tnf', [61772, 61775]]
['tnf', [62363, 62366]]
['tnf', [62501, 62504]]
['tnf', [62579, 62582]]
['tnf', [62717, 62720]]
['tnf', [62842, 62845]]
['tnf', [63537, 63540]]
['tnf', [64121, 64124]]
['tnf', [64174, 64177]]
['tnf', [64628, 64631]]
['tnf', [65205, 65208]]
['tnf', [65417, 65420]]
['tnf', [65438, 65441]]
['tnf', [65591, 65594]]
['tnf', [65644, 65647]]
['tnf', [65654, 65657]]
['tnf', [65668, 65671]]
['tnf', [65743, 65746]]
['tnf', [66137, 66140]]
['tnf', [66344, 66347]]
['tnf', [66696, 66699]]
