['rat', [29859, 29862]]
['rat', [29923, 29926]]
['rat', [31967, 31970]]
['rat', [32045, 32048]]
['rat', [33206, 33209]]
['rat', [34040, 34043]]
['rat', [34113, 34116]]
['rat', [34283, 34286]]
['rat', [34605, 34608]]
['rat', [34686, 34689]]
['rat', [34716, 34719]]
['rat', [34860, 34863]]
['rat', [34926, 34929]]
['rat', [36076, 36079]]
['rat', [36141, 36144]]
['rat', [36326, 36329]]
['rat', [36441, 36444]]
['rat', [37006, 37009]]
['rat', [38120, 38123]]
['rat', [38212, 38215]]
['rat', [38366, 38369]]
['rat', [38524, 38527]]
['rat', [38569, 38572]]
['rat', [39141, 39144]]
['rat', [39213, 39216]]
['rat', [39220, 39223]]
['rat', [39699, 39702]]
['rat', [39899, 39902]]
['rat', [40575, 40578]]
['rat', [42691, 42694]]
['rat', [42807, 42810]]
['rat', [43319, 43322]]
['rat', [43418, 43421]]
['rat', [46118, 46121]]
['rat', [46599, 46602]]
['rat', [46952, 46955]]
['rat', [47397, 47400]]
['rat', [48432, 48435]]
['rat', [50161, 50164]]
['rat', [50391, 50394]]
['rat', [51038, 51041]]
['rat', [51262, 51265]]
['rat', [51712, 51715]]
['rat', [51724, 51727]]
['rat', [51802, 51805]]
['rat', [56448, 56451]]
['rat', [56929, 56932]]
['rat', [57282, 57285]]
['rat', [57727, 57730]]
['rat', [58763, 58766]]
['rat', [60493, 60496]]
['rat', [60723, 60726]]
['rat', [61370, 61373]]
['rat', [61594, 61597]]
['rat', [62044, 62047]]
['rat', [62056, 62059]]
['rat', [62134, 62137]]
['anti-mouse', [8478, 8488]]
['anti-mouse', [8667, 8677]]
['anti-mouse', [25771, 25781]]
['anti-mouse', [25960, 25970]]
['anti-mouse', [29505, 29515]]
['anti-mouse', [29694, 29704]]
['cd34', [8489, 8493]]
['cd34', [25782, 25786]]
['cd34', [29516, 29520]]
['monoclonal', [8494, 8504]]
['monoclonal', [25787, 25797]]
['monoclonal', [29521, 29531]]
['monoclonal', [52031, 52041]]
['monoclonal', [62363, 62373]]
['primary', [5683, 5690]]
['primary', [8062, 8069]]
['primary', [8505, 8512]]
['primary', [9574, 9581]]
['primary', [22974, 22981]]
['primary', [25355, 25362]]
['primary', [25798, 25805]]
['primary', [26867, 26874]]
['primary', [29089, 29096]]
['primary', [29532, 29539]]
['primary', [30602, 30609]]
['antibody', [8513, 8521]]
['antibody', [8678, 8686]]
['antibody', [25806, 25814]]
['antibody', [25971, 25979]]
['antibody', [29540, 29548]]
['antibody', [29705, 29713]]
['antibody', [52042, 52050]]
['antibody', [62374, 62382]]
['biotinylated', [8647, 8659]]
['biotinylated', [25940, 25952]]
['biotinylated', [29674, 29686]]
['rabbit', [8445, 8451]]
['rabbit', [8660, 8666]]
['rabbit', [25738, 25744]]
['rabbit', [25953, 25959]]
['rabbit', [29472, 29478]]
['rabbit', [29687, 29693]]
['pbs', [8642, 8645]]
['pbs', [8793, 8796]]
['pbs', [8934, 8937]]
['pbs', [25935, 25938]]
['pbs', [26086, 26089]]
['pbs', [26227, 26230]]
['pbs', [29669, 29672]]
['pbs', [29820, 29823]]
['pbs', [29961, 29964]]
['avidin-biotin', [8798, 8811]]
['avidin-biotin', [26091, 26104]]
['avidin-biotin', [29825, 29838]]
['complex', [3047, 3054]]
['complex', [8812, 8819]]
['complex', [26105, 26112]]
['complex', [29839, 29846]]
['cd-1', [9501, 9505]]
['cd-1', [26794, 26798]]
['cd-1', [30529, 30533]]
['15', [3979, 3981]]
['15', [4126, 4128]]
['15', [10017, 10019]]
['15', [10151, 10153]]
['15', [11132, 11134]]
['15', [27310, 27312]]
['15', [27444, 27446]]
['15', [28425, 28427]]
['15', [31045, 31047]]
['15', [31179, 31181]]
['15', [32162, 32164]]
['15', [48605, 48607]]
['15', [58936, 58938]]
['to', [290, 292]]
['to', [435, 437]]
['to', [685, 687]]
['to', [1097, 1099]]
['to', [1621, 1623]]
['to', [1633, 1635]]
['to', [1751, 1753]]
['to', [2286, 2288]]
['to', [2334, 2336]]
['to', [2519, 2521]]
['to', [2610, 2612]]
['to', [2673, 2675]]
['to', [3087, 3089]]
['to', [3377, 3379]]
['to', [3450, 3452]]
['to', [3621, 3623]]
['to', [3930, 3932]]
['to', [4193, 4195]]
['to', [4286, 4288]]
['to', [4336, 4338]]
['to', [4529, 4531]]
['to', [4568, 4570]]
['to', [4685, 4687]]
['to', [5014, 5016]]
['to', [5318, 5320]]
['to', [5451, 5453]]
['to', [5728, 5730]]
['to', [5928, 5930]]
['to', [6269, 6271]]
['to', [6550, 6552]]
['to', [6752, 6754]]
['to', [6815, 6817]]
['to', [6868, 6870]]
['to', [6881, 6883]]
['to', [6968, 6970]]
['to', [7086, 7088]]
['to', [7130, 7132]]
['to', [7185, 7187]]
['to', [7425, 7427]]
['to', [7795, 7797]]
['to', [8034, 8036]]
['to', [8544, 8546]]
['to', [8824, 8826]]
