['or', [124, 126]]
['or', [420, 422]]
['or', [490, 492]]
['or', [693, 695]]
['or', [719, 721]]
['or', [887, 889]]
['or', [1007, 1009]]
['or', [1196, 1198]]
['or', [1344, 1346]]
['or', [1455, 1457]]
['or', [1517, 1519]]
['or', [1548, 1550]]
['or', [1694, 1696]]
['or', [1737, 1739]]
['or', [1802, 1804]]
['or', [1968, 1970]]
['or', [1996, 1998]]
['or', [2026, 2028]]
['or', [2351, 2353]]
['or', [2367, 2369]]
['or', [2801, 2803]]
['or', [2852, 2854]]
['or', [2893, 2895]]
['or', [2919, 2921]]
['or', [3088, 3090]]
['or', [3220, 3222]]
['or', [3274, 3276]]
['or', [3378, 3380]]
['or', [3546, 3548]]
['or', [3714, 3716]]
['or', [3834, 3836]]
['or', [3884, 3886]]
['or', [3931, 3933]]
['or', [4113, 4115]]
['or', [4272, 4274]]
['or', [5357, 5359]]
['or', [5541, 5543]]
['or', [5572, 5574]]
['or', [5697, 5699]]
['or', [5754, 5756]]
['or', [6042, 6044]]
['or', [6262, 6264]]
['or', [6409, 6411]]
['or', [6770, 6772]]
['or', [6954, 6956]]
['or', [6984, 6986]]
['or', [7908, 7910]]
['or', [7998, 8000]]
['or', [8059, 8061]]
['or', [8102, 8104]]
['or', [8135, 8137]]
['or', [8151, 8153]]
['or', [8168, 8170]]
['or', [8184, 8186]]
['or', [8221, 8223]]
['or', [8252, 8254]]
['or', [8326, 8328]]
['or', [8334, 8336]]
['or', [8714, 8716]]
['or', [8792, 8794]]
['or', [8812, 8814]]
['or', [9017, 9019]]
['or', [9060, 9062]]
['or', [9113, 9115]]
['or', [9156, 9158]]
['or', [9281, 9283]]
['or', [9423, 9425]]
['or', [9530, 9532]]
['or', [9635, 9637]]
['or', [9719, 9721]]
['or', [9726, 9728]]
['or', [9754, 9756]]
['or', [9832, 9834]]
['or', [9878, 9880]]
['or', [9902, 9904]]
['or', [10017, 10019]]
['or', [10059, 10061]]
['or', [10117, 10119]]
['or', [10135, 10137]]
['or', [10331, 10333]]
['or', [10370, 10372]]
['or', [10447, 10449]]
['or', [10462, 10464]]
['or', [10532, 10534]]
['or', [10573, 10575]]
['or', [10820, 10822]]
['or', [10899, 10901]]
['or', [11001, 11003]]
['or', [11056, 11058]]
['or', [11552, 11554]]
['or', [11630, 11632]]
['or', [11683, 11685]]
['or', [11766, 11768]]
['or', [11819, 11821]]
['or', [11904, 11906]]
['or', [11957, 11959]]
['or', [12065, 12067]]
['or', [12133, 12135]]
['or', [12335, 12337]]
['or', [12607, 12609]]
['or', [12659, 12661]]
['or', [12706, 12708]]
['or', [12965, 12967]]
['or', [13055, 13057]]
['or', [13107, 13109]]
['or', [13154, 13156]]
['or', [13376, 13378]]
['or', [13489, 13491]]
['or', [13514, 13516]]
['or', [13534, 13536]]
['or', [13578, 13580]]
['or', [13605, 13607]]
['or', [13616, 13618]]
['or', [13663, 13665]]
['or', [13766, 13768]]
['or', [13799, 13801]]
['or', [13922, 13924]]
['or', [13933, 13935]]
['or', [13982, 13984]]
['or', [14110, 14112]]
['or', [14279, 14281]]
['or', [14376, 14378]]
['or', [14410, 14412]]
['or', [14584, 14586]]
['or', [14820, 14822]]
['or', [14852, 14854]]
['or', [14892, 14894]]
['or', [14977, 14979]]
['or', [15036, 15038]]
['or', [15145, 15147]]
['or', [16050, 16052]]
['or', [16140, 16142]]
['or', [16201, 16203]]
['or', [16244, 16246]]
['or', [16277, 16279]]
['or', [16293, 16295]]
['or', [16310, 16312]]
['or', [16326, 16328]]
['or', [16363, 16365]]
['or', [16394, 16396]]
['or', [16468, 16470]]
['or', [16476, 16478]]
['or', [16856, 16858]]
['or', [16934, 16936]]
['or', [16954, 16956]]
['or', [17159, 17161]]
['or', [17202, 17204]]
['or', [17255, 17257]]
['or', [17298, 17300]]
['or', [17423, 17425]]
['or', [17565, 17567]]
['or', [17672, 17674]]
['or', [17777, 17779]]
['or', [17861, 17863]]
['or', [17868, 17870]]
['or', [17896, 17898]]
['or', [17974, 17976]]
['or', [18020, 18022]]
['or', [18044, 18046]]
['or', [18159, 18161]]
['or', [18201, 18203]]
['or', [18259, 18261]]
['or', [18277, 18279]]
['or', [18473, 18475]]
['or', [18512, 18514]]
['or', [18589, 18591]]
['or', [18604, 18606]]
['or', [18674, 18676]]
['or', [18715, 18717]]
['or', [18963, 18965]]
['or', [19042, 19044]]
['or', [19144, 19146]]
['or', [19199, 19201]]
['or', [19695, 19697]]
['or', [19773, 19775]]
['or', [19826, 19828]]
['or', [19909, 19911]]
['or', [19962, 19964]]
['or', [20047, 20049]]
['or', [20100, 20102]]
['or', [20208, 20210]]
['or', [20276, 20278]]
['or', [20478, 20480]]
['or', [20750, 20752]]
['or', [20802, 20804]]
['or', [20849, 20851]]
['or', [21109, 21111]]
['or', [21199, 21201]]
['or', [21251, 21253]]
['or', [21298, 21300]]
['or', [21520, 21522]]
['or', [21633, 21635]]
['or', [21658, 21660]]
['or', [21678, 21680]]
['or', [21722, 21724]]
['or', [21749, 21751]]
['or', [21760, 21762]]
['or', [21807, 21809]]
['or', [21910, 21912]]
['or', [21943, 21945]]
['or', [22066, 22068]]
['or', [22077, 22079]]
['or', [22126, 22128]]
['or', [22254, 22256]]
['or', [22423, 22425]]
['or', [22520, 22522]]
['or', [22554, 22556]]
['or', [22728, 22730]]
['or', [22964, 22966]]
['or', [22996, 22998]]
['or', [23036, 23038]]
['or', [23121, 23123]]
['or', [23180, 23182]]
['or', [23289, 23291]]
['or', [23547, 23549]]
['or', [23755, 23757]]
['or', [24016, 24018]]
['or', [24025, 24027]]
['or', [24183, 24185]]
['or', [24225, 24227]]
['or', [24229, 24231]]
['or', [24283, 24285]]
['or', [24369, 24371]]
['or', [24409, 24411]]
['or', [24575, 24577]]
['or', [24610, 24612]]
['or', [24623, 24625]]
['or', [24626, 24628]]
['or', [24638, 24640]]
