['1', [57032, 57033]]
['1', [57040, 57041]]
['1', [57933, 57934]]
['1', [58279, 58280]]
['1', [58290, 58291]]
['1', [58326, 58327]]
['1', [59695, 59696]]
['1', [59703, 59704]]
['1', [60596, 60597]]
['1', [60942, 60943]]
['1', [60953, 60954]]
['1', [60989, 60990]]
['1', [62536, 62537]]
['1', [62675, 62676]]
['1', [65102, 65103]]
['1', [65488, 65489]]
['1', [65875, 65876]]
['1', [66807, 66808]]
['1', [66808, 66809]]
['1', [70113, 70114]]
['1', [71537, 71538]]
['1', [71676, 71677]]
['1', [74103, 74104]]
['1', [74489, 74490]]
['1', [74876, 74877]]
['1', [75808, 75809]]
['1', [75809, 75810]]
['1', [79114, 79115]]
['1', [80080, 80081]]
['1', [80154, 80155]]
['1', [80188, 80189]]
['1', [80190, 80191]]
['1', [80222, 80223]]
['1', [80254, 80255]]
['1', [80305, 80306]]
['1', [80340, 80341]]
['1', [80355, 80356]]
['1', [80358, 80359]]
['1', [80398, 80399]]
['1', [80481, 80482]]
['1', [80483, 80484]]
['1', [80484, 80485]]
['1', [80486, 80487]]
['1', [80523, 80524]]
['1', [80526, 80527]]
['1', [80534, 80535]]
['1', [80663, 80664]]
['1', [80666, 80667]]
['1', [80671, 80672]]
['1', [80713, 80714]]
['1', [80751, 80752]]
['1', [80939, 80940]]
['1', [80954, 80955]]
['1', [81230, 81231]]
['1', [81238, 81239]]
['1', [81240, 81241]]
['1', [81312, 81313]]
['1', [81317, 81318]]
['1', [81318, 81319]]
['1', [81322, 81323]]
['1', [81331, 81332]]
['1', [81358, 81359]]
['1', [81359, 81360]]
['1', [81364, 81365]]
['1', [81368, 81369]]
['1', [81373, 81374]]
['1', [81481, 81482]]
['1', [81512, 81513]]
['1', [81520, 81521]]
['1', [81538, 81539]]
['1', [81590, 81591]]
['1', [81592, 81593]]
['1', [81607, 81608]]
['1', [81662, 81663]]
['1', [81664, 81665]]
['1', [81681, 81682]]
['1', [82006, 82007]]
['1', [82211, 82212]]
['1', [82216, 82217]]
['1', [82220, 82221]]
['1', [82224, 82225]]
['1', [82251, 82252]]
['1', [82285, 82286]]
['1', [82290, 82291]]
['1', [82293, 82294]]
['1', [82298, 82299]]
['1', [82360, 82361]]
['1', [82741, 82742]]
['1', [82816, 82817]]
['1', [82841, 82842]]
['1', [82846, 82847]]
['1', [82961, 82962]]
['1', [83355, 83356]]
['1', [83428, 83429]]
['1', [83429, 83430]]
['1', [83444, 83445]]
['1', [83472, 83473]]
['1', [83477, 83478]]
['1', [83524, 83525]]
['1', [83597, 83598]]
['1', [83598, 83599]]
['1', [83709, 83710]]
['3', [837, 838]]
['3', [853, 854]]
['3', [1084, 1085]]
['3', [1917, 1918]]
['3', [1923, 1924]]
['3', [2829, 2830]]
['3', [3009, 3010]]
['3', [3584, 3585]]
['3', [4334, 4335]]
['3', [4338, 4339]]
['3', [4339, 4340]]
['3', [5625, 5626]]
['3', [5629, 5630]]
['3', [5630, 5631]]
['3', [7272, 7273]]
['3', [7410, 7411]]
['3', [8528, 8529]]
['3', [8864, 8865]]
['3', [8921, 8922]]
['3', [9451, 9452]]
['3', [10044, 10045]]
['3', [10843, 10844]]
['3', [10850, 10851]]
